style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Fixed Income Arbitrage,model2,Liquidity,0.3924,2.51,0.57,0.55,0.34103424330567567,1.156174619820018,0.24922248874503525,180,0.17950218116511107,0.14111631829564264,ols,-0.05136575669432436,-1.3538253801799818,-0.3904978188348889,-0.4088836817043574,0.05136575669432436,1.3538253801799818,True,True,False,False
Fund of Funds,model1,Intercept,0.0017,1.54,0.43,0.42,0.0037579463130300236,3.4881072996567757,0.0006137061224619936,180,0.3696030443964381,0.36247991495459,ols,0.0020579463130300235,1.9481072996567756,-0.0603969556035619,-0.05752008504541001,0.0020579463130300235,1.9481072996567756,True,False,True,False
Fund of Funds,model1,MKT-RF,0.2394,9.5,0.43,0.42,0.2243870590934089,9.143946108527095,1.410505647388314e-16,180,0.3696030443964381,0.36247991495459,ols,-0.01501294090659111,-0.35605389147290545,-0.0603969556035619,-0.05752008504541001,0.01501294090659111,0.35605389147290545,True,True,True,True
Fund of Funds,model1,Liquidity,1.0914,5.07,0.43,0.42,0.65380826843849,3.1866659845395535,0.0017015540594740787,180,0.3696030443964381,0.36247991495459,ols,-0.4375917315615099,-1.8833340154604468,-0.0603969556035619,-0.05752008504541001,0.4375917315615099,1.8833340154604468,True,True,True,True
Fund of Funds,model2,Intercept,0.0023,2.29,0.58,0.56,0.004064520226897114,4.178673834027846,4.668840837165176e-05,180,0.5203510449344276,0.49791132773837743,ols,0.0017645202268971143,1.8886738340278457,-0.05964895506557233,-0.062088672261622624,0.0017645202268971143,1.8886738340278457,True,True,True,True
Fund of Funds,model2,MKT-RF,0.1808,7.39,0.58,0.56,0.18541163524279997,7.7513628796881315,7.750704297621718e-13,180,0.5203510449344276,0.49791132773837743,ols,0.004611635242799977,0.36136287968813186,-0.05964895506557233,-0.062088672261622624,0.004611635242799977,0.36136287968813186,True,True,True,True
Fund of Funds,model2,SMB,0.0726,2.69,0.58,0.56,0.1237224310633919,4.651427493936263,6.57298345081097e-06,180,0.5203510449344276,0.49791132773837743,ols,0.0511224310633919,1.9614274939362635,-0.05964895506557233,-0.062088672261622624,0.0511224310633919,1.9614274939362635,True,True,True,True
Fund of Funds,model2,DTERM,-0.0203,-4.25,0.58,0.56,-0.007398653021850613,-1.57858929172604,0.11627836164735185,180,0.5203510449344276,0.49791132773837743,ols,0.012901346978149385,2.67141070827396,-0.05964895506557233,-0.062088672261622624,0.012901346978149385,2.67141070827396,True,True,False,False
Fund of Funds,model2,DCREDIT,-0.0462,-6.11,0.58,0.56,-0.027280969042716187,-3.651741289992651,0.00034596454514210885,180,0.5203510449344276,0.49791132773837743,ols,0.01891903095728381,2.458258710007349,-0.05964895506557233,-0.062088672261622624,0.01891903095728381,2.458258710007349,True,True,True,True
Fund of Funds,model2,PTFSBD,-0.0058,-0.85,0.58,0.56,-0.007486684255212057,-1.127328011012071,0.2611831937064826,180,0.5203510449344276,0.49791132773837743,ols,-0.0016866842552120571,-0.27732801101207094,-0.05964895506557233,-0.062088672261622624,0.0016866842552120571,0.27732801101207094,True,False,False,True
